GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wojtek-java-maven,com.example.wojtek_java_maven.controller,HelloController,4,3,0,0,2,1,2,1,2,1
wojtek-java-maven,com.example.wojtek_java_maven,WojtekJavaMavenApplication,0,8,0,0,0,3,0,2,0,2
